age,sex,race,priors_count,juv_fel_count,charge_degree,days_b_screening_arrest,two_year_recid
35,Male,Caucasian,0,0,F,27,1
29,Male,Hispanic,2,0,F,33,0
25,Male,Caucasian,3,0,M,9,0
31,Male,African-American,4,1,F,43,0
36,Male,African-American,1,2,M,14,1
18,Female,Other,1,0,F,30,0
21,Male,African-American,4,1,M,17,1
31,Male,African-American,5,3,M,12,0
37,Male,African-American,2,1,F,31,0
38,Male,Other,2,1,F,35,0
18,Female,African-American,6,1,F,36,1
29,Male,African-American,1,1,M,12,1
37,Male,Caucasian,0,0,F,27,0
27,Male,Hispanic,2,2,F,31,1
35,Male,Hispanic,3,0,M,10,1
35,Female,African-American,2,2,F,35,1
37,Male,Caucasian,0,1,M,17,0
29,Female,African-American,3,3,M,16,1
38,Female,Hispanic,3,0,M,5,1
36,Male,African-American,3,1,F,30,1
21,Male,Caucasian,1,0,M,6,1
40,Female,Caucasian,2,0,M,8,0
36,Female,Caucasian,1,1,M,11,0
22,Male,Other,1,1,F,36,1
29,Female,African-American,0,1,M,16,1
30,Male,African-American,3,2,M,16,1
21,Female,Caucasian,2,0,F,34,1
31,Male,African-American,4,1,F,31,1
28,Male,African-American,1,1,F,42,0
29,Male,Hispanic,2,1,F,28,1
23,Male,African-American,3,1,M,18,1
42,Male,Caucasian,3,0,M,6,1
23,Male,African-American,3,1,F,38,0
29,Male,African-American,5,0,M,17,0
25,Female,African-American,6,1,M,23,1
31,Female,African-American,6,1,F,28,0
29,Male,Caucasian,1,0,F,23,0
31,Male,African-American,6,0,F,26,1
34,Male,African-American,4,1,F,35,1
33,Female,Caucasian,0,0,M,6,1
18,Male,African-American,4,1,F,39,1
35,Male,Caucasian,2,0,F,31,1
41,Male,Caucasian,3,0,M,14,1
33,Male,Caucasian,1,0,M,2,0
23,Female,Caucasian,1,0,M,6,0
42,Male,Other,1,0,M,11,0
31,Male,Caucasian,1,1,M,15,0
35,Male,Caucasian,4,1,F,32,1
27,Male,African-American,5,2,M,14,1
21,Male,African-American,1,0,M,14,1
42,Male,Caucasian,3,0,M,14,0
33,Female,Hispanic,1,0,F,31,1
23,Male,African-American,6,1,F,42,0
36,Male,Other,1,0,M,10,0
27,Male,Caucasian,3,0,F,23,1
43,Male,Caucasian,2,0,M,10,0
30,Female,Caucasian,0,0,M,10,1
33,Male,Hispanic,1,1,F,30,0
18,Female,Hispanic,3,0,F,26,1
24,Male,Hispanic,2,1,M,13,0
31,Male,African-American,4,1,M,14,1
37,Male,Caucasian,0,1,M,9,1
41,Male,Other,1,0,M,5,1
32,Male,African-American,5,2,M,17,1
18,Male,African-American,3,1,M,9,1
24,Male,African-American,3,0,F,37,1
19,Female,African-American,2,2,M,14,1
33,Male,Caucasian,1,0,M,12,0
35,Female,Caucasian,0,1,F,28,0
25,Female,Caucasian,1,0,M,8,0
25,Female,African-American,1,1,F,34,0
35,Female,Caucasian,2,0,F,33,1
30,Female,Other,0,1,M,13,0
34,Male,Caucasian,0,0,M,11,0
18,Male,African-American,1,1,M,15,1
24,Male,African-American,2,0,F,36,1
29,Male,African-American,4,0,M,16,0
28,Male,Hispanic,3,1,M,15,1
28,Male,African-American,2,0,M,22,0
48,Male,Caucasian,1,1,F,31,1
34,Male,African-American,3,2,M,17,0
27,Male,African-American,4,2,F,32,0
18,Male,Hispanic,0,1,F,31,1
24,Male,Hispanic,1,2,F,33,1
26,Male,Caucasian,0,0,F,37,0
22,Male,African-American,5,0,F,43,0
34,Male,Caucasian,2,0,M,13,0
29,Male,Caucasian,1,0,M,12,0
36,Male,Caucasian,0,0,M,17,1
40,Male,Caucasian,0,0,F,33,0
32,Male,Hispanic,1,1,F,31,1
23,Male,African-American,6,1,M,13,1
40,Male,Caucasian,1,0,F,14,0
27,Male,Other,1,1,M,6,0
36,Male,Caucasian,1,0,F,27,1
21,Male,Hispanic,3,0,F,30,1
34,Male,Other,2,0,M,8,1
25,Female,African-American,4,0,F,31,0
31,Male,African-American,3,1,F,37,1
33,Male,Caucasian,1,0,F,28,0
37,Male,Caucasian,1,0,M,6,1
18,Male,African-American,4,2,M,17,0
28,Male,African-American,2,2,F,25,0
34,Male,Hispanic,2,1,F,30,1
21,Male,African-American,0,1,F,33,1
31,Female,African-American,2,0,F,35,1
34,Male,African-American,5,0,F,34,1
37,Male,African-American,3,2,M,21,1
41,Female,Caucasian,1,0,F,27,0
24,Male,Other,2,0,M,16,0
18,Male,African-American,0,2,M,13,0
18,Female,African-American,4,2,M,15,0
34,Male,Hispanic,2,1,M,10,0
18,Female,African-American,3,1,M,11,1
20,Female,Caucasian,0,0,F,31,0
27,Male,Caucasian,1,0,M,13,1
26,Male,African-American,2,1,F,36,0
22,Male,Caucasian,0,0,M,9,0
44,Male,Caucasian,1,1,F,15,1
28,Male,African-American,4,1,F,26,1
34,Male,African-American,2,2,F,32,0
35,Female,African-American,2,2,F,26,0
31,Male,Caucasian,1,1,M,9,0
36,Female,Caucasian,0,0,M,7,0
32,Male,Other,2,0,F,32,0
29,Male,Caucasian,0,0,M,10,0
39,Male,Hispanic,2,0,F,29,1
35,Male,African-American,1,1,F,38,0
23,Male,African-American,4,1,F,36,1
20,Male,African-American,6,3,M,13,1
18,Male,Hispanic,1,2,M,9,0
28,Male,African-American,4,0,M,16,0
31,Male,Caucasian,1,0,F,22,0
21,Male,Caucasian,1,1,F,24,0
34,Male,African-American,3,1,M,15,0
42,Male,Caucasian,0,0,F,33,0
30,Male,African-American,3,1,F,34,1
43,Male,Caucasian,0,0,F,30,0
24,Female,African-American,2,1,F,27,0
18,Female,Hispanic,2,1,F,29,1
27,Male,African-American,3,0,F,33,0
18,Male,African-American,4,1,M,10,1
21,Male,African-American,4,2,M,9,0
18,Female,African-American,5,1,F,27,1
28,Male,Caucasian,0,0,M,12,0
27,Male,African-American,4,0,F,40,1
28,Female,Other,1,0,F,24,1
25,Male,African-American,4,2,F,20,0
26,Male,African-American,4,2,M,24,1
34,Male,African-American,1,1,F,48,1
38,Male,Caucasian,2,1,M,9,0
35,Female,African-American,4,1,M,13,0
18,Female,African-American,3,2,M,19,1
18,Male,African-American,3,1,F,44,1
37,Male,African-American,3,0,M,13,1
19,Male,African-American,4,0,M,14,0
18,Male,African-American,3,2,M,14,0
25,Male,Caucasian,0,1,M,6,0
23,Female,African-American,3,2,F,35,1
32,Male,African-American,4,0,F,28,0
18,Male,African-American,1,0,M,17,0
33,Male,African-American,4,0,F,45,0
26,Male,Caucasian,0,0,F,27,1
35,Male,African-American,2,1,F,33,0
21,Male,Caucasian,2,0,M,6,0
31,Male,African-American,3,1,M,22,0
42,Female,Caucasian,2,0,F,33,0
35,Female,Caucasian,1,0,M,9,0
42,Male,Caucasian,0,1,M,9,0
39,Male,African-American,10,2,M,16,1
25,Male,African-American,5,3,F,29,0
22,Male,African-American,3,1,F,31,1
29,Male,Caucasian,1,1,M,10,0
34,Male,Hispanic,1,0,F,30,0
23,Female,African-American,1,2,M,22,1
25,Male,Caucasian,1,0,F,30,0
38,Male,Other,3,1,M,14,0
24,Male,Caucasian,2,0,M,9,1
22,Male,African-American,5,0,M,20,1
30,Male,African-American,3,0,F,32,1
40,Male,African-American,2,1,F,33,0
33,Male,Caucasian,0,0,F,36,0
19,Male,Hispanic,3,0,M,12,1
30,Female,African-American,2,1,M,14,1
26,Male,African-American,4,1,F,31,1
31,Female,Caucasian,1,0,M,9,0
32,Male,Caucasian,1,0,M,16,0
22,Male,African-American,2,1,F,44,0
42,Male,Caucasian,2,0,F,26,0
32,Male,Caucasian,1,0,M,9,0
39,Male,Caucasian,0,1,M,10,1
19,Male,African-American,4,1,F,39,0
30,Male,African-American,1,2,M,16,1
32,Male,African-American,5,1,F,28,1
40,Male,Caucasian,1,1,M,8,1
26,Male,Hispanic,3,0,M,15,0
31,Male,African-American,5,2,M,15,1
33,Male,Hispanic,2,0,M,8,0
18,Male,African-American,0,0,F,27,1
32,Male,African-American,4,1,F,33,0
23,Female,African-American,2,1,F,41,1
18,Male,Hispanic,0,1,M,10,0
18,Male,Hispanic,2,0,F,36,0
21,Female,Hispanic,2,0,M,11,1
30,Male,African-American,2,1,F,26,1
22,Male,African-American,2,1,F,35,1
25,Male,African-American,1,1,M,13,0
32,Male,Caucasian,0,0,F,29,0
35,Male,Hispanic,5,2,F,23,1
18,Male,African-American,0,0,M,22,1
30,Male,Caucasian,0,0,M,13,1
34,Male,African-American,5,0,M,21,0
22,Male,African-American,3,1,M,21,1
18,Male,African-American,4,0,F,37,0
18,Male,African-American,3,0,F,41,1
18,Male,African-American,3,2,M,19,0
29,Male,Caucasian,0,0,F,31,0
29,Female,Caucasian,1,0,M,12,1
23,Male,Hispanic,0,1,M,8,1
18,Male,African-American,2,2,F,40,1
34,Female,Caucasian,3,1,F,22,1
31,Male,African-American,2,1,M,8,1
20,Male,African-American,5,0,M,13,0
33,Male,Caucasian,3,0,M,15,0
18,Male,African-American,3,1,F,32,0
34,Male,African-American,2,2,M,16,1
18,Male,African-American,2,2,M,10,1
28,Male,Caucasian,1,0,M,7,0
23,Male,African-American,0,2,F,43,0
40,Male,Caucasian,0,0,M,13,0
20,Male,African-American,3,1,F,42,1
46,Male,Caucasian,0,0,M,13,1
27,Male,African-American,6,1,M,17,0
30,Male,Caucasian,2,0,M,4,1
35,Male,Caucasian,0,0,M,10,0
27,Male,Hispanic,1,0,M,10,0
24,Male,African-American,2,0,M,16,0
28,Male,African-American,2,2,F,30,0
29,Male,Caucasian,0,2,F,31,1
25,Male,Other,1,1,F,27,1
28,Male,Hispanic,4,0,M,11,0
43,Male,African-American,5,1,M,16,0
36,Male,Caucasian,3,1,M,11,0
28,Male,African-American,2,1,F,33,1
31,Male,Hispanic,1,1,M,5,0
40,Male,African-American,2,2,M,22,0
35,Female,Other,1,0,M,10,1
25,Male,African-American,2,1,M,16,1
28,Male,Caucasian,0,0,M,9,1
45,Female,Caucasian,3,0,M,10,0
25,Male,African-American,2,1,F,36,1
30,Male,African-American,3,1,F,31,0
28,Female,Caucasian,3,0,F,28,0
31,Male,Caucasian,0,0,F,23,0
36,Male,African-American,3,3,F,31,1
36,Male,Caucasian,1,0,F,34,1
40,Female,Caucasian,1,1,F,19,0
23,Male,Caucasian,1,0,F,32,1
32,Male,African-American,4,1,F,36,1
29,Male,Caucasian,1,1,F,26,0
23,Male,African-American,3,1,F,38,1
23,Male,African-American,2,3,M,19,0
36,Male,Caucasian,1,0,M,5,0
30,Male,Caucasian,0,0,F,20,0
24,Male,Caucasian,2,0,F,30,0
38,Female,Other,2,0,F,25,1
22,Female,African-American,3,1,F,34,0
18,Male,African-American,5,1,F,38,1
45,Male,African-American,4,2,M,17,1
31,Male,Caucasian,1,1,M,9,0
19,Male,Caucasian,1,1,M,11,0
27,Male,Other,1,0,F,35,0
35,Male,Caucasian,1,1,F,26,0
27,Male,African-American,3,2,F,26,0
22,Female,African-American,3,0,M,12,1
38,Male,Other,3,0,M,5,0
35,Male,African-American,2,1,M,14,0
22,Male,Caucasian,1,0,F,23,1
36,Female,Caucasian,3,0,F,22,1
25,Male,African-American,7,1,F,32,1
35,Male,Caucasian,1,0,M,14,0
29,Male,African-American,4,0,M,11,1
21,Male,Hispanic,2,0,M,10,1
21,Male,African-American,3,2,F,33,1
32,Female,African-American,4,0,F,29,1
26,Male,African-American,4,2,F,31,0
20,Female,African-American,5,1,F,33,0
45,Male,Hispanic,1,2,F,25,0
21,Male,African-American,2,1,M,10,1
18,Male,African-American,3,2,M,11,1
27,Male,African-American,4,1,F,31,1
18,Male,African-American,4,1,F,24,1
23,Female,Caucasian,2,1,M,12,1
39,Male,Other,0,0,F,28,0
26,Male,African-American,3,2,F,26,0
29,Male,Caucasian,0,0,M,8,0
39,Male,Hispanic,2,1,F,40,1
34,Male,Other,2,1,M,7,0
35,Male,African-American,3,2,M,16,1
30,Male,Caucasian,0,0,M,11,1
20,Male,African-American,1,3,M,15,0
23,Male,African-American,5,1,F,27,1
27,Male,Caucasian,3,0,M,10,1
25,Male,Caucasian,1,0,F,23,1
33,Female,Caucasian,2,0,F,41,0
32,Male,Caucasian,1,0,M,11,0
23,Male,Other,1,0,F,29,1
21,Female,African-American,2,2,F,32,1
30,Female,African-American,1,1,M,13,1
34,Male,Caucasian,0,0,M,9,0
31,Male,African-American,2,3,M,11,0
22,Female,Hispanic,7,0,M,8,1
18,Male,African-American,5,2,F,33,1
38,Male,Caucasian,0,1,M,14,0
30,Male,Caucasian,2,0,M,7,1
28,Male,Caucasian,0,1,M,7,0
26,Male,African-American,3,0,M,15,0
31,Male,African-American,1,0,F,35,0
19,Male,African-American,1,2,F,32,1
32,Male,African-American,1,0,F,26,0
37,Male,African-American,3,2,M,14,1
34,Male,Caucasian,1,0,M,6,1
45,Male,Caucasian,1,0,M,12,0
18,Female,African-American,1,1,M,19,1
28,Male,Caucasian,0,1,M,13,1
30,Male,Other,2,0,M,12,1
26,Male,African-American,9,1,F,20,1
23,Male,African-American,0,3,M,15,1
41,Male,African-American,4,1,M,16,0
40,Male,Caucasian,3,0,M,8,0
23,Male,Caucasian,2,1,M,8,1
35,Male,African-American,6,2,M,19,1
39,Male,Caucasian,2,0,F,26,1
32,Female,Hispanic,5,0,F,28,1
30,Male,Caucasian,0,0,M,9,0
18,Male,African-American,4,2,M,10,1
44,Male,Caucasian,0,0,M,7,0
23,Male,African-American,1,2,M,21,1
43,Male,Hispanic,4,3,M,10,1
47,Male,Caucasian,1,0,F,32,0
36,Male,Hispanic,1,1,M,11,1
31,Male,Caucasian,0,0,M,12,1
41,Male,African-American,3,2,M,10,1
39,Male,Caucasian,2,0,F,26,1
23,Female,Caucasian,0,1,F,31,0
29,Male,African-American,3,1,F,27,0
34,Male,African-American,7,1,F,29,1
28,Male,Caucasian,1,0,M,5,1
33,Male,Other,2,1,M,9,0
21,Male,Hispanic,1,0,F,32,1
40,Male,Caucasian,0,0,M,5,0
20,Male,African-American,6,1,M,10,1
30,Male,Caucasian,2,0,M,9,1
32,Male,Hispanic,4,2,F,30,0
22,Male,African-American,4,1,F,30,1
35,Male,Caucasian,2,1,M,13,1
32,Male,Caucasian,1,1,M,4,0
34,Male,African-American,1,1,M,15,0
32,Male,African-American,1,1,M,12,1
24,Male,Caucasian,2,1,F,29,0
27,Male,Other,1,0,M,11,1
18,Male,African-American,1,1,F,34,1
18,Male,African-American,5,2,M,12,0
23,Male,African-American,2,1,F,36,0
33,Female,Caucasian,0,0,M,19,1
33,Male,African-American,2,0,M,19,1
19,Male,African-American,4,1,F,38,1
32,Male,Hispanic,4,1,F,32,1
27,Male,African-American,3,3,F,28,1
29,Female,Caucasian,3,0,F,34,1
26,Male,African-American,6,1,M,24,0
30,Male,Hispanic,2,0,M,7,1
22,Male,African-American,2,1,M,13,1
28,Male,Other,2,0,F,29,0
25,Female,African-American,3,2,F,34,0
32,Male,Hispanic,2,0,F,33,0
40,Female,Caucasian,1,1,F,32,0
43,Female,Caucasian,0,0,M,10,0
18,Male,African-American,3,1,F,34,1
23,Male,African-American,1,1,M,18,0
40,Male,Caucasian,4,2,M,5,1
29,Male,African-American,4,1,F,34,0
28,Female,Hispanic,2,1,F,40,1
47,Male,Caucasian,3,1,M,8,0
30,Male,Caucasian,2,0,F,29,0
50,Female,Caucasian,0,0,M,13,0
43,Female,Hispanic,3,0,F,26,0
37,Male,Caucasian,0,1,M,12,0
29,Male,African-American,4,2,M,26,0
36,Male,Caucasian,2,2,M,16,1
21,Male,African-American,2,2,M,25,1
29,Male,African-American,2,1,M,20,1
24,Male,Caucasian,0,0,M,11,0
22,Female,Caucasian,0,0,F,21,1
19,Male,African-American,4,1,M,12,0
40,Male,African-American,6,2,M,12,1
38,Male,African-American,7,2,M,20,1
28,Male,African-American,5,1,F,25,0
24,Female,African-American,2,1,F,29,1
36,Male,African-American,4,1,F,34,1
44,Male,Caucasian,0,1,M,10,1
30,Female,Caucasian,3,0,F,35,1
25,Male,African-American,4,0,M,16,1
21,Male,Hispanic,2,1,M,11,1
35,Male,African-American,6,2,M,9,1
34,Male,African-American,4,0,F,41,0
20,Male,African-American,4,0,F,35,1
23,Male,Other,1,0,F,27,0
44,Male,African-American,3,1,F,28,0
32,Male,Hispanic,2,0,F,23,1
19,Male,Hispanic,2,0,M,9,0
26,Male,Other,0,1,M,11,1
24,Male,Caucasian,0,0,F,36,0
32,Female,African-American,3,2,M,16,0
18,Male,Other,1,1,M,9,0
25,Male,Caucasian,1,1,F,28,1
43,Male,Caucasian,2,0,M,7,0
29,Male,Other,0,0,F,24,1
21,Female,Hispanic,1,1,F,24,0
18,Male,African-American,3,2,F,36,1
21,Female,African-American,1,2,F,37,0
27,Male,African-American,0,1,F,22,0
44,Male,Caucasian,2,0,M,9,0
25,Male,African-American,3,0,F,40,1
22,Male,Other,3,0,M,13,0
36,Female,Caucasian,0,0,M,6,0
25,Male,African-American,4,1,F,46,1
21,Male,Other,3,0,M,17,0
29,Male,African-American,2,1,M,7,0
44,Male,Caucasian,1,0,F,27,1
26,Male,African-American,4,2,F,32,0
22,Female,African-American,6,2,F,33,0
20,Male,Caucasian,0,0,F,25,0
20,Female,African-American,2,2,F,30,1
40,Male,Caucasian,0,0,F,24,1
23,Male,Caucasian,2,1,F,25,1
28,Male,African-American,4,2,M,11,1
18,Male,African-American,5,1,F,26,1
24,Male,Caucasian,1,1,M,13,1
18,Male,African-American,5,1,F,40,1
28,Male,African-American,1,2,M,9,0
33,Male,African-American,3,1,F,33,0
21,Female,African-American,3,2,F,35,0
23,Female,Hispanic,1,1,F,37,1
27,Male,Caucasian,1,0,M,11,1
25,Male,African-American,5,1,F,34,1
39,Male,Caucasian,1,0,M,10,0
31,Male,Hispanic,2,0,M,9,0
37,Male,Other,4,0,M,8,0
33,Male,Caucasian,0,0,F,25,0
26,Female,African-American,3,0,M,15,0
24,Male,Caucasian,0,0,M,7,0
21,Male,African-American,3,2,F,38,0
32,Female,African-American,5,2,M,16,1
26,Female,Caucasian,2,0,M,10,1
28,Male,Hispanic,4,1,M,9,1
22,Male,African-American,1,1,F,38,1
43,Male,African-American,4,0,M,18,1
29,Male,Caucasian,1,1,F,24,1
35,Male,Caucasian,2,0,M,10,0
25,Female,African-American,1,0,F,32,1
27,Male,African-American,3,3,M,12,0
25,Male,African-American,3,2,F,46,1
34,Male,Caucasian,0,0,F,25,0
36,Male,Other,3,0,M,12,1
27,Male,African-American,0,2,M,10,0
42,Female,Caucasian,1,0,M,6,1
36,Male,Caucasian,1,0,F,27,1
18,Male,African-American,6,1,F,22,1
32,Male,African-American,2,0,M,10,0
34,Male,Caucasian,2,0,M,10,0
26,Female,African-American,2,2,M,13,0
27,Female,Other,1,0,M,10,0
28,Male,African-American,5,2,F,26,1
26,Female,Caucasian,1,0,F,28,1
35,Male,African-American,7,0,M,10,0
24,Male,Caucasian,3,0,M,6,0
38,Male,Hispanic,1,0,M,12,0
36,Male,Caucasian,1,0,F,29,0
30,Female,African-American,4,2,F,43,0
24,Female,African-American,1,0,M,8,0
21,Male,African-American,3,2,M,19,0
27,Male,African-American,2,2,F,42,1
40,Female,Caucasian,4,0,M,6,1
27,Male,Caucasian,0,0,F,35,1
40,Male,Caucasian,0,1,M,9,0
22,Female,African-American,4,1,M,14,1
29,Female,Caucasian,2,1,M,13,0
24,Male,African-American,1,2,M,13,0
42,Male,Caucasian,0,0,M,13,1
22,Male,African-American,2,0,F,37,1
34,Female,Caucasian,0,0,M,10,0
29,Female,Hispanic,1,2,F,32,0
36,Male,Caucasian,1,0,F,36,0
39,Female,Caucasian,1,2,F,31,0
35,Male,Other,3,0,M,7,0
44,Male,Caucasian,0,0,M,16,0
27,Male,African-American,5,2,M,16,0
38,Female,Caucasian,0,2,F,20,0
33,Male,Caucasian,0,0,M,5,1
18,Female,African-American,5,1,M,14,0
29,Male,African-American,3,0,F,41,0
36,Male,Caucasian,0,0,M,6,0
36,Female,Caucasian,2,1,F,33,0
21,Male,African-American,4,0,F,43,1
29,Male,Caucasian,2,0,M,17,1
34,Male,Caucasian,0,0,F,28,1
21,Male,African-American,1,2,M,17,0
45,Male,Caucasian,5,0,M,7,0
38,Male,Caucasian,1,0,M,7,0
19,Male,African-American,7,0,F,31,1
21,Female,African-American,5,1,M,19,1
18,Male,African-American,2,1,F,35,1
24,Male,African-American,1,0,F,28,0
40,Male,Hispanic,2,0,F,26,0
36,Male,Hispanic,0,1,F,34,0
21,Male,African-American,3,2,F,36,0
32,Male,Caucasian,2,0,M,15,1
27,Male,African-American,2,1,M,13,1
24,Female,African-American,4,2,F,26,0
18,Male,African-American,3,1,F,19,1
21,Male,African-American,2,2,F,43,0
43,Male,Caucasian,2,1,M,13,0
18,Male,African-American,6,0,F,29,1
35,Female,Caucasian,0,0,F,42,0
23,Male,Caucasian,2,0,M,9,0
28,Female,African-American,4,1,M,17,1
33,Male,Caucasian,0,1,M,14,0
33,Female,African-American,6,0,F,28,1
21,Male,African-American,1,1,F,39,0
41,Male,Hispanic,2,2,F,34,0
34,Male,Hispanic,0,1,F,24,0
38,Female,African-American,4,1,F,41,1
26,Female,African-American,4,0,F,33,0
34,Female,Caucasian,2,0,M,7,1
23,Female,African-American,1,3,M,15,0
18,Male,African-American,5,0,M,19,1
35,Female,Caucasian,0,2,F,33,1
27,Male,Caucasian,1,0,M,13,0
33,Male,Caucasian,3,0,M,10,1
19,Male,Caucasian,1,0,F,28,1
23,Male,Caucasian,3,0,M,8,1
39,Male,Caucasian,2,0,F,32,1
23,Male,African-American,4,1,M,11,0
19,Male,African-American,2,1,F,40,1
28,Male,African-American,1,0,F,31,0
32,Male,Caucasian,1,0,M,8,0
36,Male,Other,3,1,M,15,1
38,Male,Caucasian,0,0,M,11,1
43,Male,Caucasian,2,1,M,13,0
26,Male,African-American,2,1,F,24,0
42,Male,Caucasian,1,0,F,30,0
38,Male,Caucasian,1,0,M,11,1
37,Male,Hispanic,3,1,M,9,0
26,Female,African-American,4,0,F,39,1
32,Male,Hispanic,1,2,M,9,0
19,Male,Caucasian,0,1,F,30,1
36,Male,Caucasian,1,1,M,11,0
26,Female,Caucasian,0,0,M,9,1
25,Male,African-American,5,1,M,15,0
39,Male,African-American,2,1,M,14,0
18,Male,African-American,1,1,F,39,0
25,Male,African-American,5,1,F,37,1
35,Male,Caucasian,2,2,M,7,0
24,Male,Caucasian,1,0,M,10,0
30,Male,African-American,3,1,F,28,1
45,Female,Caucasian,1,1,M,13,0
23,Male,Caucasian,0,0,F,19,1
31,Male,Hispanic,1,1,F,34,0
34,Male,Caucasian,1,0,F,37,1
34,Male,African-American,2,1,F,31,1
29,Male,African-American,2,2,M,7,0
19,Male,African-American,3,1,M,13,1
29,Female,Caucasian,3,0,F,33,0
32,Male,African-American,1,2,M,22,0
37,Male,Caucasian,1,0,M,11,0
18,Male,African-American,5,2,F,43,1
