age,sex,education,occupation,hours_per_week,capital_gain,income
36,Male,Some-college,Prof-specialty,42,654,>50K
57,Male,Masters,Other-service,47,5,>50K
37,Male,Some-college,Other-service,60,321,>50K
59,Female,HS-grad,Other-service,38,1025,<=50K
49,Male,Bachelors,Other-service,41,399,>50K
46,Male,Some-college,Prof-specialty,53,387,>50K
34,Female,Masters,Other-service,43,129,<=50K
29,Female,Masters,Other-service,34,31,<=50K
38,Male,Masters,Sales,54,159,>50K
38,Female,Doctorate,Sales,24,547,<=50K
18,Male,Some-college,Other-service,60,405,>50K
32,Male,Some-college,Exec-managerial,39,7875,>50K
21,Female,Bachelors,Sales,36,1544,<=50K
28,Female,Bachelors,Prof-specialty,22,3794,>50K
30,Female,Some-college,Prof-specialty,37,9205,>50K
42,Male,Masters,Craft-repair,51,26,>50K
32,Male,Masters,Other-service,26,911,>50K
49,Female,Some-college,Sales,33,278,<=50K
41,Female,HS-grad,Prof-specialty,29,1547,>50K
57,Male,HS-grad,Other-service,49,859,<=50K
21,Male,Masters,Craft-repair,33,1645,>50K
48,Female,Some-college,Other-service,49,1844,>50K
18,Male,Bachelors,Craft-repair,44,319,>50K
33,Female,Some-college,Craft-repair,31,532,>50K
28,Male,Bachelors,Sales,38,2100,>50K
48,Female,Some-college,Other-service,42,894,>50K
45,Male,Some-college,Other-service,58,1443,>50K
19,Male,Bachelors,Exec-managerial,35,97,>50K
18,Female,Doctorate,Other-service,29,472,>50K
31,Female,Doctorate,Sales,41,1046,>50K
33,Male,Bachelors,Prof-specialty,49,518,<=50K
32,Male,HS-grad,Exec-managerial,39,3234,>50K
28,Female,Bachelors,Prof-specialty,35,1419,>50K
65,Male,Some-college,Other-service,53,1055,>50K
40,Male,Some-college,Prof-specialty,38,1165,>50K
37,Male,Bachelors,Other-service,50,290,<=50K
59,Male,Some-college,Other-service,54,16,>50K
44,Male,HS-grad,Craft-repair,46,884,<=50K
48,Female,Bachelors,Craft-repair,28,194,<=50K
42,Male,HS-grad,Prof-specialty,50,2533,>50K
30,Male,HS-grad,Prof-specialty,42,1891,>50K
18,Male,Masters,Craft-repair,65,324,<=50K
58,Female,Some-college,Prof-specialty,25,2915,>50K
49,Male,Doctorate,Other-service,48,670,>50K
38,Male,Doctorate,Other-service,57,691,>50K
60,Female,HS-grad,Other-service,30,19,>50K
44,Female,Bachelors,Craft-repair,24,57,<=50K
46,Male,Doctorate,Prof-specialty,37,1973,>50K
46,Female,Bachelors,Craft-repair,27,168,<=50K
65,Male,Some-college,Exec-managerial,41,6647,>50K
32,Male,Some-college,Sales,46,152,<=50K
44,Female,Some-college,Other-service,34,61,<=50K
49,Female,Some-college,Other-service,39,45,>50K
33,Female,HS-grad,Craft-repair,37,1024,<=50K
50,Female,Bachelors,Other-service,21,193,<=50K
60,Male,Bachelors,Exec-managerial,55,2735,>50K
24,Male,Bachelors,Craft-repair,40,0,<=50K
32,Male,Bachelors,Prof-specialty,32,1178,<=50K
56,Male,Masters,Sales,49,424,>50K
24,Male,Some-college,Sales,44,16,>50K
22,Male,Masters,Other-service,41,445,<=50K
39,Female,Bachelors,Other-service,29,227,<=50K
40,Female,Some-college,Craft-repair,41,148,<=50K
50,Male,Some-college,Other-service,45,501,>50K
50,Female,Bachelors,Other-service,32,1111,<=50K
43,Female,Some-college,Exec-managerial,35,743,>50K
18,Male,Masters,Other-service,35,2129,>50K
28,Male,Doctorate,Exec-managerial,46,4665,>50K
28,Male,Some-college,Other-service,44,719,>50K
52,Male,Bachelors,Other-service,52,269,<=50K
26,Female,Masters,Prof-specialty,34,207,>50K
51,Female,Masters,Craft-repair,49,87,<=50K
40,Female,Some-college,Exec-managerial,38,1581,>50K
38,Female,Some-college,Craft-repair,35,390,<=50K
23,Male,Some-college,Sales,40,965,<=50K
47,Male,Some-college,Other-service,37,505,<=50K
56,Male,Bachelors,Prof-specialty,38,286,>50K
18,Female,Bachelors,Other-service,48,472,>50K
29,Male,HS-grad,Other-service,50,52,>50K
47,Male,Bachelors,Prof-specialty,43,1100,>50K
58,Male,Masters,Craft-repair,56,6,>50K
51,Female,Masters,Other-service,17,1754,>50K
25,Male,HS-grad,Sales,38,182,<=50K
43,Male,Masters,Exec-managerial,44,880,>50K
43,Male,HS-grad,Exec-managerial,25,862,<=50K
34,Female,HS-grad,Prof-specialty,47,531,<=50K
49,Female,Masters,Other-service,45,162,>50K
54,Male,Some-college,Other-service,41,844,>50K
43,Male,Some-college,Prof-specialty,46,2182,>50K
43,Male,Masters,Prof-specialty,44,878,>50K
54,Female,Bachelors,Prof-specialty,44,2032,>50K
56,Male,Bachelors,Other-service,53,14,<=50K
18,Female,HS-grad,Other-service,34,307,<=50K
49,Male,Masters,Sales,65,646,<=50K
42,Male,HS-grad,Craft-repair,38,578,>50K
22,Female,HS-grad,Other-service,30,56,>50K
44,Male,HS-grad,Exec-managerial,50,1074,>50K
45,Male,HS-grad,Other-service,48,168,<=50K
18,Male,Masters,Prof-specialty,51,1131,>50K
47,Male,Masters,Other-service,45,534,>50K
41,Male,Bachelors,Craft-repair,54,3650,>50K
39,Female,Bachelors,Prof-specialty,41,850,>50K
33,Male,Some-college,Exec-managerial,53,1761,>50K
52,Male,Masters,Prof-specialty,48,671,>50K
34,Male,HS-grad,Other-service,54,173,<=50K
43,Male,HS-grad,Exec-managerial,41,571,<=50K
37,Male,Masters,Other-service,58,275,<=50K
46,Male,Some-college,Other-service,49,6083,>50K
29,Male,Masters,Other-service,51,398,>50K
46,Male,HS-grad,Sales,34,813,>50K
52,Male,Bachelors,Prof-specialty,34,2110,>50K
37,Female,Bachelors,Exec-managerial,23,1219,>50K
24,Male,Bachelors,Craft-repair,57,1083,>50K
41,Male,HS-grad,Craft-repair,43,516,<=50K
50,Male,Bachelors,Prof-specialty,38,2870,>50K
37,Female,HS-grad,Exec-managerial,35,1637,>50K
20,Male,Masters,Prof-specialty,25,955,<=50K
57,Female,Doctorate,Craft-repair,55,4,>50K
34,Male,Some-college,Prof-specialty,59,3897,>50K
41,Male,Doctorate,Prof-specialty,45,73,>50K
39,Male,HS-grad,Sales,44,447,<=50K
29,Male,Some-college,Exec-managerial,50,160,>50K
52,Female,Masters,Prof-specialty,37,1570,>50K
45,Female,HS-grad,Exec-managerial,36,558,<=50K
33,Male,Bachelors,Craft-repair,45,226,>50K
47,Female,Bachelors,Prof-specialty,39,685,<=50K
26,Female,Some-college,Sales,35,60,<=50K
54,Female,Some-college,Other-service,30,1829,>50K
31,Male,Bachelors,Craft-repair,41,463,>50K
45,Female,HS-grad,Other-service,42,660,<=50K
18,Female,HS-grad,Sales,34,118,<=50K
30,Female,Masters,Craft-repair,33,742,>50K
47,Male,Bachelors,Exec-managerial,39,7704,>50K
44,Female,HS-grad,Other-service,30,205,>50K
56,Female,Some-college,Other-service,32,184,>50K
49,Male,Some-college,Other-service,44,178,>50K
20,Male,HS-grad,Prof-specialty,48,2603,<=50K
34,Male,HS-grad,Prof-specialty,47,6247,>50K
27,Male,HS-grad,Prof-specialty,45,8531,>50K
37,Female,Some-college,Other-service,31,1343,>50K
39,Male,Bachelors,Prof-specialty,44,1845,>50K
23,Female,Some-college,Other-service,42,272,<=50K
37,Male,Bachelors,Other-service,45,320,>50K
41,Male,Some-college,Exec-managerial,60,1959,>50K
37,Female,Some-college,Other-service,42,63,<=50K
39,Female,HS-grad,Sales,25,862,<=50K
24,Male,Masters,Exec-managerial,37,8002,>50K
35,Male,Bachelors,Other-service,63,446,>50K
43,Male,Bachelors,Other-service,37,174,<=50K
36,Female,HS-grad,Other-service,15,209,<=50K
41,Male,Masters,Prof-specialty,54,2299,>50K
62,Female,Masters,Prof-specialty,50,1243,>50K
52,Male,Some-college,Other-service,43,1829,>50K
40,Male,Some-college,Prof-specialty,48,329,>50K
20,Female,Masters,Prof-specialty,30,750,<=50K
30,Female,Some-college,Sales,41,35,>50K
24,Male,Doctorate,Other-service,54,347,<=50K
32,Male,Bachelors,Sales,19,26,<=50K
39,Male,HS-grad,Prof-specialty,50,2998,>50K
30,Male,Some-college,Sales,38,7949,>50K
42,Male,Bachelors,Other-service,54,226,>50K
49,Female,Masters,Other-service,24,866,<=50K
43,Female,Masters,Prof-specialty,36,2016,>50K
33,Male,Masters,Sales,44,1158,>50K
48,Male,HS-grad,Exec-managerial,40,1327,>50K
31,Female,Masters,Other-service,22,1147,>50K
43,Female,HS-grad,Craft-repair,23,108,<=50K
25,Female,HS-grad,Prof-specialty,30,207,<=50K
43,Female,Masters,Craft-repair,28,145,>50K
37,Male,Bachelors,Other-service,60,525,>50K
47,Male,Bachelors,Prof-specialty,44,11,>50K
37,Female,Doctorate,Prof-specialty,39,2905,>50K
44,Female,Masters,Prof-specialty,25,465,>50K
21,Male,Some-college,Exec-managerial,38,3166,>50K
42,Male,Doctorate,Craft-repair,39,212,>50K
47,Female,Masters,Prof-specialty,36,2536,>50K
29,Male,HS-grad,Prof-specialty,41,1086,<=50K
47,Male,HS-grad,Other-service,39,1245,<=50K
53,Male,HS-grad,Other-service,48,216,>50K
58,Male,HS-grad,Prof-specialty,40,1028,<=50K
50,Female,Some-college,Exec-managerial,28,2863,>50K
27,Female,HS-grad,Other-service,23,70,<=50K
23,Male,HS-grad,Prof-specialty,41,1496,>50K
21,Male,Some-college,Other-service,39,1303,<=50K
47,Female,Bachelors,Sales,26,1115,>50K
23,Male,Some-college,Craft-repair,48,487,<=50K
18,Female,HS-grad,Sales,31,291,<=50K
26,Male,Some-college,Other-service,48,170,<=50K
38,Male,HS-grad,Prof-specialty,56,4613,>50K
18,Female,Bachelors,Other-service,42,329,<=50K
55,Male,HS-grad,Other-service,31,25,<=50K
41,Male,Masters,Craft-repair,46,409,>50K
52,Male,Bachelors,Other-service,39,619,>50K
54,Male,Bachelors,Exec-managerial,44,11285,>50K
33,Male,HS-grad,Other-service,53,120,<=50K
41,Male,HS-grad,Other-service,48,989,>50K
40,Female,HS-grad,Other-service,32,267,<=50K
29,Female,HS-grad,Craft-repair,32,1037,>50K
56,Female,Some-college,Sales,34,413,<=50K
54,Male,HS-grad,Other-service,34,2399,>50K
34,Male,Some-college,Prof-specialty,44,55,>50K
28,Male,Masters,Other-service,55,407,>50K
20,Female,HS-grad,Craft-repair,27,554,<=50K
42,Male,Masters,Other-service,45,462,>50K
33,Male,HS-grad,Prof-specialty,55,685,>50K
18,Male,Masters,Craft-repair,61,692,>50K
53,Male,HS-grad,Sales,29,202,>50K
53,Male,Bachelors,Other-service,42,645,<=50K
45,Male,Masters,Other-service,38,17,>50K
55,Male,HS-grad,Other-service,40,1208,>50K
35,Male,Some-college,Other-service,56,930,>50K
18,Female,Bachelors,Craft-repair,34,337,<=50K
41,Male,Some-college,Prof-specialty,45,2027,>50K
25,Male,Masters,Sales,38,66,>50K
29,Male,Some-college,Other-service,56,1834,>50K
18,Male,Bachelors,Other-service,40,2374,>50K
27,Female,Bachelors,Other-service,31,1,<=50K
39,Male,Bachelors,Prof-specialty,49,3701,>50K
33,Female,Bachelors,Prof-specialty,30,416,>50K
37,Male,HS-grad,Other-service,47,1431,<=50K
38,Male,Some-college,Sales,44,137,>50K
52,Male,Some-college,Sales,44,468,>50K
46,Male,Doctorate,Craft-repair,35,222,>50K
54,Male,HS-grad,Exec-managerial,43,32,<=50K
18,Male,HS-grad,Prof-specialty,65,1934,>50K
21,Male,Bachelors,Craft-repair,42,474,<=50K
57,Male,Masters,Sales,41,1272,>50K
26,Male,HS-grad,Exec-managerial,47,267,>50K
23,Male,Bachelors,Other-service,46,404,<=50K
23,Female,HS-grad,Other-service,26,558,<=50K
34,Male,HS-grad,Prof-specialty,40,6247,<=50K
49,Male,Bachelors,Sales,39,245,>50K
18,Male,Some-college,Other-service,45,399,>50K
51,Male,Masters,Craft-repair,33,313,<=50K
24,Male,Bachelors,Prof-specialty,48,188,>50K
54,Male,Doctorate,Other-service,42,1260,>50K
18,Female,HS-grad,Prof-specialty,34,604,<=50K
46,Male,Bachelors,Other-service,44,340,>50K
53,Male,Doctorate,Sales,46,84,>50K
40,Female,Masters,Prof-specialty,23,1249,<=50K
53,Male,Bachelors,Prof-specialty,52,3025,>50K
61,Male,Bachelors,Sales,48,1008,>50K
36,Male,Some-college,Exec-managerial,37,807,<=50K
32,Male,HS-grad,Other-service,39,111,>50K
30,Male,Doctorate,Craft-repair,27,678,<=50K
47,Female,HS-grad,Prof-specialty,31,7678,>50K
34,Male,Bachelors,Exec-managerial,43,1741,<=50K
23,Female,Some-college,Prof-specialty,37,834,<=50K
50,Female,HS-grad,Other-service,6,998,<=50K
22,Female,Some-college,Other-service,10,151,<=50K
31,Male,HS-grad,Craft-repair,53,489,>50K
45,Male,HS-grad,Craft-repair,53,187,>50K
62,Male,Some-college,Other-service,47,412,<=50K
37,Male,Bachelors,Prof-specialty,33,191,>50K
22,Female,HS-grad,Craft-repair,32,743,<=50K
46,Male,HS-grad,Sales,60,132,>50K
38,Male,HS-grad,Craft-repair,47,223,<=50K
33,Female,HS-grad,Other-service,31,205,>50K
35,Male,Some-college,Prof-specialty,41,4269,<=50K
32,Male,Doctorate,Other-service,32,544,>50K
52,Male,Doctorate,Craft-repair,47,1097,>50K
35,Male,HS-grad,Other-service,65,384,<=50K
48,Male,Doctorate,Prof-specialty,40,3018,>50K
26,Male,Masters,Prof-specialty,43,3390,>50K
46,Male,HS-grad,Other-service,50,5,<=50K
49,Male,Doctorate,Craft-repair,33,262,>50K
48,Male,Masters,Exec-managerial,51,278,>50K
34,Female,Masters,Craft-repair,34,644,>50K
46,Male,Bachelors,Sales,35,652,<=50K
45,Female,Doctorate,Other-service,34,1301,>50K
24,Male,HS-grad,Prof-specialty,60,2539,>50K
48,Male,HS-grad,Other-service,41,786,>50K
34,Male,Bachelors,Exec-managerial,33,2205,>50K
19,Female,HS-grad,Other-service,40,132,<=50K
18,Female,HS-grad,Prof-specialty,26,5949,<=50K
24,Female,HS-grad,Exec-managerial,42,27,<=50K
46,Male,Bachelors,Sales,43,114,<=50K
31,Male,Masters,Craft-repair,56,256,>50K
36,Male,HS-grad,Prof-specialty,44,424,<=50K
35,Female,HS-grad,Other-service,27,596,<=50K
49,Female,HS-grad,Prof-specialty,36,235,<=50K
19,Male,HS-grad,Prof-specialty,44,142,>50K
32,Female,HS-grad,Craft-repair,24,1027,<=50K
51,Male,Doctorate,Other-service,44,1068,>50K
32,Male,Masters,Sales,36,428,>50K
23,Male,Bachelors,Sales,33,247,<=50K
21,Male,HS-grad,Prof-specialty,47,38,>50K
25,Male,Masters,Craft-repair,46,2090,>50K
30,Male,Masters,Other-service,58,995,>50K
30,Male,Masters,Other-service,37,2175,>50K
29,Female,Bachelors,Other-service,33,369,<=50K
21,Male,HS-grad,Craft-repair,37,1719,>50K
38,Male,HS-grad,Craft-repair,52,62,<=50K
46,Male,Some-college,Other-service,52,1317,<=50K
28,Male,Some-college,Other-service,48,96,<=50K
36,Male,Bachelors,Other-service,61,776,>50K
18,Male,HS-grad,Other-service,57,762,>50K
53,Male,Masters,Other-service,41,43,<=50K
18,Male,Bachelors,Other-service,51,525,>50K
28,Male,HS-grad,Exec-managerial,43,1242,>50K
34,Male,Bachelors,Prof-specialty,46,4104,>50K
49,Female,HS-grad,Other-service,25,51,<=50K
28,Male,Bachelors,Exec-managerial,45,75,>50K
59,Female,Bachelors,Craft-repair,47,16,>50K
40,Male,HS-grad,Sales,40,72,>50K
31,Male,Bachelors,Craft-repair,32,140,>50K
41,Male,Some-college,Exec-managerial,42,2574,>50K
36,Female,Some-college,Exec-managerial,33,5795,>50K
35,Male,HS-grad,Other-service,46,427,<=50K
41,Male,Bachelors,Prof-specialty,40,8,>50K
30,Male,Bachelors,Other-service,41,1251,>50K
29,Female,Some-college,Other-service,47,394,>50K
37,Female,HS-grad,Prof-specialty,38,2181,<=50K
65,Male,Bachelors,Craft-repair,46,81,>50K
42,Male,Bachelors,Craft-repair,42,1164,>50K
41,Male,HS-grad,Other-service,31,430,<=50K
41,Female,HS-grad,Sales,49,244,<=50K
62,Male,HS-grad,Exec-managerial,40,1103,<=50K
45,Female,Masters,Other-service,30,4,>50K
36,Male,HS-grad,Other-service,59,459,>50K
29,Male,Bachelors,Other-service,52,976,>50K
57,Male,Some-college,Other-service,50,400,<=50K
37,Male,Some-college,Other-service,33,462,>50K
46,Male,HS-grad,Prof-specialty,48,3186,>50K
27,Female,Bachelors,Craft-repair,28,1084,<=50K
33,Female,Some-college,Sales,51,764,<=50K
56,Male,Bachelors,Exec-managerial,47,1548,>50K
42,Male,HS-grad,Sales,52,696,<=50K
48,Female,Some-college,Prof-specialty,34,3058,<=50K
19,Male,Bachelors,Prof-specialty,56,4624,>50K
49,Male,HS-grad,Other-service,48,675,>50K
30,Female,Some-college,Other-service,23,1881,<=50K
33,Male,Bachelors,Other-service,27,428,<=50K
33,Male,HS-grad,Craft-repair,47,701,>50K
42,Male,HS-grad,Craft-repair,39,365,<=50K
31,Male,Bachelors,Craft-repair,62,454,>50K
22,Female,Bachelors,Prof-specialty,42,1610,>50K
50,Female,Doctorate,Prof-specialty,35,1965,>50K
32,Male,Some-college,Craft-repair,54,449,<=50K
19,Male,Doctorate,Other-service,40,216,>50K
65,Male,Bachelors,Prof-specialty,23,790,>50K
33,Male,Some-college,Other-service,40,380,>50K
18,Male,Bachelors,Other-service,48,35,>50K
31,Female,HS-grad,Exec-managerial,18,2969,<=50K
39,Male,Bachelors,Exec-managerial,45,3263,>50K
39,Male,HS-grad,Craft-repair,51,1199,>50K
32,Male,HS-grad,Craft-repair,36,241,<=50K
51,Female,Masters,Craft-repair,35,940,>50K
53,Male,Bachelors,Other-service,51,233,>50K
18,Female,Bachelors,Prof-specialty,32,548,<=50K
42,Male,Some-college,Prof-specialty,63,231,>50K
36,Male,Bachelors,Other-service,38,270,>50K
40,Female,HS-grad,Prof-specialty,36,2364,<=50K
44,Male,Some-college,Other-service,44,198,>50K
25,Female,Bachelors,Craft-repair,36,61,<=50K
29,Male,Bachelors,Other-service,43,2192,>50K
48,Male,Bachelors,Craft-repair,52,571,>50K
38,Male,Bachelors,Exec-managerial,51,265,>50K
27,Male,HS-grad,Sales,34,759,<=50K
65,Female,HS-grad,Craft-repair,27,1946,<=50K
29,Male,HS-grad,Other-service,37,266,<=50K
22,Male,Masters,Exec-managerial,47,782,>50K
40,Male,Bachelors,Sales,48,2560,>50K
18,Male,Bachelors,Craft-repair,54,139,>50K
19,Male,HS-grad,Exec-managerial,54,1165,>50K
52,Female,Bachelors,Other-service,38,139,<=50K
38,Male,Masters,Prof-specialty,48,824,>50K
30,Male,Bachelors,Sales,49,378,<=50K
56,Female,Masters,Exec-managerial,44,1298,>50K
43,Female,HS-grad,Other-service,23,255,>50K
54,Male,Masters,Prof-specialty,41,2806,>50K
32,Male,HS-grad,Other-service,34,254,<=50K
28,Male,HS-grad,Other-service,70,701,>50K
33,Male,HS-grad,Prof-specialty,49,1699,<=50K
26,Female,HS-grad,Other-service,29,409,>50K
23,Female,HS-grad,Other-service,19,822,<=50K
36,Female,Masters,Craft-repair,24,335,>50K
35,Male,Some-college,Sales,42,943,>50K
24,Female,Bachelors,Craft-repair,45,495,>50K
30,Male,Bachelors,Sales,58,872,<=50K
45,Male,Bachelors,Other-service,56,1765,>50K
38,Female,Some-college,Prof-specialty,32,3413,<=50K
46,Male,Bachelors,Sales,38,4945,>50K
27,Female,HS-grad,Exec-managerial,48,82,<=50K
23,Male,Some-college,Other-service,51,5439,>50K
45,Male,HS-grad,Craft-repair,45,271,<=50K
31,Female,Some-college,Exec-managerial,31,1955,<=50K
28,Male,Some-college,Prof-specialty,53,222,>50K
39,Male,Bachelors,Exec-managerial,39,2054,>50K
47,Male,HS-grad,Prof-specialty,40,2507,>50K
27,Male,HS-grad,Prof-specialty,42,934,<=50K
49,Male,Doctorate,Exec-managerial,58,581,>50K
58,Male,Bachelors,Exec-managerial,46,6824,>50K
38,Male,HS-grad,Prof-specialty,52,1618,<=50K
56,Female,Bachelors,Exec-managerial,47,2107,>50K
18,Male,HS-grad,Exec-managerial,41,1308,>50K
28,Male,Bachelors,Other-service,38,19,<=50K
37,Female,HS-grad,Craft-repair,21,307,<=50K
39,Male,Bachelors,Other-service,34,644,<=50K
32,Male,Some-college,Craft-repair,54,64,<=50K
64,Male,Some-college,Sales,49,1117,>50K
49,Male,Doctorate,Exec-managerial,58,2675,>50K
20,Female,Some-college,Other-service,29,6,>50K
53,Male,Masters,Sales,33,272,<=50K
46,Female,HS-grad,Sales,25,1142,<=50K
44,Female,Bachelors,Sales,40,781,>50K
32,Male,HS-grad,Prof-specialty,40,3384,<=50K
19,Male,HS-grad,Other-service,39,260,<=50K
56,Male,HS-grad,Exec-managerial,37,2475,>50K
33,Male,Some-college,Exec-managerial,48,555,<=50K
62,Female,Bachelors,Prof-specialty,40,6220,>50K
60,Male,Bachelors,Other-service,45,153,>50K
51,Female,Masters,Other-service,23,638,<=50K
34,Male,Bachelors,Craft-repair,37,51,>50K
64,Male,Bachelors,Sales,55,1984,>50K
46,Male,HS-grad,Other-service,48,2211,>50K
20,Male,Bachelors,Craft-repair,42,224,>50K
44,Male,Doctorate,Prof-specialty,35,1450,>50K
53,Male,Bachelors,Craft-repair,47,74,<=50K
27,Female,HS-grad,Craft-repair,47,88,<=50K
42,Female,HS-grad,Exec-managerial,27,321,<=50K
25,Female,HS-grad,Prof-specialty,31,1098,<=50K
49,Male,Masters,Craft-repair,46,242,>50K
28,Male,Some-college,Craft-repair,35,422,<=50K
31,Male,HS-grad,Exec-managerial,55,1697,>50K
44,Female,Some-college,Other-service,43,380,<=50K
32,Male,HS-grad,Other-service,27,647,>50K
41,Female,Masters,Other-service,37,546,<=50K
34,Male,HS-grad,Exec-managerial,27,798,>50K
51,Male,Bachelors,Craft-repair,48,341,>50K
48,Male,Bachelors,Other-service,55,542,>50K
20,Male,Doctorate,Exec-managerial,49,3140,>50K
31,Female,Bachelors,Exec-managerial,31,1155,<=50K
22,Male,Bachelors,Sales,56,44,>50K
24,Male,HS-grad,Sales,44,67,<=50K
33,Male,Bachelors,Other-service,35,462,<=50K
37,Male,HS-grad,Sales,46,603,>50K
50,Male,Some-college,Prof-specialty,40,1163,>50K
26,Male,Bachelors,Sales,42,201,>50K
43,Female,Some-college,Other-service,62,548,>50K
41,Male,Bachelors,Exec-managerial,45,7572,>50K
29,Male,Bachelors,Prof-specialty,31,229,>50K
39,Male,Bachelors,Other-service,47,434,>50K
40,Female,Bachelors,Craft-repair,24,122,<=50K
32,Male,Bachelors,Craft-repair,62,1130,>50K
34,Female,Bachelors,Other-service,20,146,>50K
37,Male,Some-college,Other-service,49,462,>50K
44,Female,Masters,Other-service,39,1279,>50K
49,Female,Some-college,Other-service,38,418,>50K
54,Female,HS-grad,Sales,34,572,<=50K
21,Male,Bachelors,Exec-managerial,32,1514,>50K
33,Male,Masters,Prof-specialty,47,772,<=50K
49,Male,Bachelors,Other-service,46,153,>50K
44,Male,Bachelors,Craft-repair,59,1426,>50K
37,Female,Bachelors,Other-service,44,132,<=50K
61,Male,Bachelors,Prof-specialty,49,6737,>50K
32,Female,HS-grad,Craft-repair,43,79,<=50K
65,Female,Bachelors,Craft-repair,21,837,<=50K
62,Female,HS-grad,Exec-managerial,30,4879,<=50K
43,Female,Some-college,Exec-managerial,45,91,>50K
43,Male,Doctorate,Other-service,57,251,>50K
41,Male,Some-college,Other-service,53,597,<=50K
29,Male,Bachelors,Craft-repair,41,1391,>50K
44,Male,Bachelors,Sales,45,448,>50K
21,Male,Bachelors,Other-service,41,219,<=50K
18,Male,Some-college,Other-service,28,359,<=50K
26,Male,Bachelors,Prof-specialty,47,1370,>50K
63,Male,Some-college,Exec-managerial,47,2532,>50K
59,Male,Doctorate,Other-service,48,357,>50K
42,Male,HS-grad,Sales,43,371,>50K
35,Male,Some-college,Other-service,42,110,<=50K
55,Male,HS-grad,Other-service,39,310,>50K
56,Male,Masters,Prof-specialty,40,1987,>50K
31,Male,Bachelors,Prof-specialty,40,112,>50K
37,Male,Some-college,Craft-repair,36,806,<=50K
25,Female,Bachelors,Sales,40,3,>50K
54,Male,HS-grad,Craft-repair,57,1787,>50K
52,Male,Masters,Other-service,53,822,>50K
28,Male,Bachelors,Other-service,46,71,>50K
24,Female,HS-grad,Other-service,22,1022,<=50K
65,Male,Bachelors,Other-service,41,267,>50K
43,Female,Bachelors,Craft-repair,33,1189,<=50K
21,Female,Masters,Craft-repair,31,20,>50K
29,Female,HS-grad,Exec-managerial,32,214,>50K
22,Male,Bachelors,Prof-specialty,41,269,>50K
48,Male,Some-college,Other-service,48,281,>50K
18,Female,Some-college,Prof-specialty,39,1014,<=50K
23,Female,Some-college,Other-service,29,559,<=50K
54,Male,HS-grad,Other-service,61,116,<=50K
34,Female,Bachelors,Sales,41,1140,<=50K
24,Female,Bachelors,Craft-repair,39,67,<=50K
18,Male,Some-college,Exec-managerial,51,532,>50K
30,Male,Masters,Exec-managerial,37,1077,>50K
40,Male,Masters,Craft-repair,50,239,>50K
55,Female,Masters,Exec-managerial,32,3277,>50K
36,Male,Bachelors,Prof-specialty,43,4800,>50K
