age,age_group,credit_amount,duration,purpose,savings,employment,credit_risk
34,Middle-aged+,2418,36,repairs,quite rich,<1yr,good
49,Middle-aged+,3004,12,repairs,moderate,1-4yr,good
39,Middle-aged+,5416,24,repairs,rich,1-4yr,good
64,Middle-aged+,500,24,furniture,rich,1-4yr,good
46,Middle-aged+,1448,24,repairs,little,4-7yr,good
40,Middle-aged+,4251,48,car,little,<1yr,bad
29,Young,2082,36,furniture,little,1-4yr,bad
22,Young,8673,24,car,quite rich,4-7yr,bad
24,Young,2576,48,education,moderate,>7yr,bad
62,Middle-aged+,9404,36,furniture,little,4-7yr,good
45,Middle-aged+,3379,24,repairs,quite rich,<1yr,good
32,Middle-aged+,2659,24,car,rich,4-7yr,good
55,Middle-aged+,8312,36,furniture,little,<1yr,bad
18,Young,9047,24,other,rich,unemployed,bad
25,Young,572,24,repairs,little,4-7yr,bad
35,Middle-aged+,8170,36,car,quite rich,1-4yr,good
18,Young,1772,12,education,moderate,4-7yr,bad
60,Middle-aged+,2540,12,car,moderate,1-4yr,bad
58,Middle-aged+,754,36,repairs,little,1-4yr,bad
30,Middle-aged+,681,24,furniture,moderate,>7yr,good
38,Middle-aged+,1450,48,education,quite rich,1-4yr,bad
35,Middle-aged+,1753,48,furniture,little,1-4yr,good
56,Middle-aged+,500,24,furniture,rich,4-7yr,good
50,Middle-aged+,8921,12,other,quite rich,1-4yr,good
38,Middle-aged+,500,60,furniture,quite rich,>7yr,good
72,Middle-aged+,3803,24,other,rich,>7yr,good
24,Young,1077,48,car,moderate,4-7yr,bad
32,Middle-aged+,4852,6,education,little,1-4yr,good
45,Middle-aged+,2018,24,car,little,4-7yr,good
43,Middle-aged+,6239,24,car,moderate,4-7yr,good
47,Middle-aged+,4731,36,car,moderate,>7yr,good
37,Middle-aged+,5466,24,furniture,moderate,1-4yr,good
53,Middle-aged+,575,6,education,moderate,1-4yr,good
51,Middle-aged+,6398,36,repairs,little,4-7yr,bad
51,Middle-aged+,500,36,other,rich,>7yr,good
41,Middle-aged+,5911,24,repairs,moderate,>7yr,good
53,Middle-aged+,2168,48,education,little,1-4yr,good
29,Young,1115,48,car,little,4-7yr,good
60,Middle-aged+,19127,6,repairs,little,4-7yr,good
44,Middle-aged+,3453,36,other,little,1-4yr,good
47,Middle-aged+,500,6,education,moderate,<1yr,bad
18,Young,4013,36,furniture,little,1-4yr,bad
18,Young,1901,36,car,moderate,4-7yr,bad
20,Young,1458,6,car,little,1-4yr,good
57,Middle-aged+,7282,36,other,little,unemployed,good
32,Middle-aged+,5575,36,furniture,moderate,>7yr,good
25,Young,5770,48,car,moderate,4-7yr,bad
40,Middle-aged+,2558,12,furniture,little,<1yr,good
18,Young,5175,24,car,moderate,1-4yr,bad
75,Middle-aged+,2743,24,other,moderate,<1yr,good
60,Middle-aged+,4874,24,car,moderate,4-7yr,good
37,Middle-aged+,6033,12,repairs,quite rich,1-4yr,good
34,Middle-aged+,500,24,education,quite rich,4-7yr,good
46,Middle-aged+,1545,36,other,moderate,unemployed,bad
44,Middle-aged+,14633,36,education,little,>7yr,bad
42,Middle-aged+,4284,36,repairs,quite rich,1-4yr,good
36,Middle-aged+,2405,36,car,moderate,>7yr,good
46,Middle-aged+,1400,12,repairs,quite rich,1-4yr,good
41,Middle-aged+,1860,12,furniture,quite rich,4-7yr,good
32,Middle-aged+,1261,36,education,little,>7yr,good
29,Young,6798,12,education,quite rich,1-4yr,bad
53,Middle-aged+,12462,24,furniture,little,>7yr,bad
39,Middle-aged+,5076,12,repairs,little,1-4yr,good
37,Middle-aged+,509,36,education,rich,<1yr,good
26,Young,500,48,education,moderate,4-7yr,bad
31,Middle-aged+,7040,60,repairs,rich,1-4yr,good
35,Middle-aged+,7460,24,repairs,moderate,<1yr,good
34,Middle-aged+,1623,24,repairs,moderate,>7yr,good
42,Middle-aged+,5515,48,furniture,little,1-4yr,good
40,Middle-aged+,3168,12,other,moderate,4-7yr,good
36,Middle-aged+,4024,60,furniture,moderate,4-7yr,good
34,Middle-aged+,1307,24,car,little,1-4yr,good
35,Middle-aged+,2430,24,repairs,moderate,>7yr,good
52,Middle-aged+,1272,48,other,little,1-4yr,good
36,Middle-aged+,5768,36,education,moderate,<1yr,bad
63,Middle-aged+,1226,60,education,moderate,1-4yr,good
53,Middle-aged+,1283,6,repairs,little,1-4yr,good
23,Young,3590,36,education,little,1-4yr,bad
23,Young,500,12,furniture,quite rich,1-4yr,good
68,Middle-aged+,500,12,repairs,moderate,unemployed,good
23,Young,2476,24,furniture,moderate,1-4yr,bad
18,Young,1688,6,furniture,quite rich,4-7yr,good
52,Middle-aged+,550,24,other,moderate,1-4yr,bad
67,Middle-aged+,1023,36,furniture,quite rich,>7yr,good
34,Middle-aged+,3286,36,education,little,<1yr,good
42,Middle-aged+,2636,6,repairs,little,>7yr,good
32,Middle-aged+,2695,12,repairs,quite rich,unemployed,good
51,Middle-aged+,20853,6,furniture,little,4-7yr,good
53,Middle-aged+,3314,36,repairs,rich,4-7yr,good
18,Young,4841,12,furniture,rich,1-4yr,good
45,Middle-aged+,4150,24,other,moderate,>7yr,good
24,Young,8322,24,furniture,rich,4-7yr,good
53,Middle-aged+,2209,24,education,rich,1-4yr,good
20,Young,2641,24,car,little,1-4yr,bad
42,Middle-aged+,3637,60,other,rich,1-4yr,bad
35,Middle-aged+,4499,60,repairs,little,1-4yr,bad
28,Young,4993,6,furniture,moderate,1-4yr,bad
18,Young,2772,6,education,moderate,1-4yr,bad
18,Young,7034,12,car,quite rich,>7yr,good
31,Middle-aged+,5590,48,other,quite rich,4-7yr,bad
28,Young,500,36,repairs,quite rich,<1yr,bad
64,Middle-aged+,500,36,car,moderate,1-4yr,good
35,Middle-aged+,3710,12,repairs,rich,1-4yr,good
46,Middle-aged+,3034,24,repairs,moderate,4-7yr,good
23,Young,7003,24,other,little,1-4yr,good
24,Young,932,60,car,quite rich,1-4yr,bad
27,Young,1871,6,repairs,quite rich,1-4yr,bad
42,Middle-aged+,7882,36,education,rich,1-4yr,good
30,Middle-aged+,4001,48,education,rich,>7yr,good
26,Young,3419,36,education,little,<1yr,bad
43,Middle-aged+,1919,6,car,little,4-7yr,good
28,Young,791,36,repairs,moderate,4-7yr,good
29,Young,1958,24,education,little,1-4yr,bad
19,Young,4283,48,furniture,little,4-7yr,bad
30,Middle-aged+,2994,48,other,little,<1yr,bad
27,Young,785,24,other,moderate,<1yr,good
24,Young,3160,12,other,quite rich,>7yr,good
42,Middle-aged+,41300,24,education,little,<1yr,bad
32,Middle-aged+,8315,12,education,little,1-4yr,good
41,Middle-aged+,3369,12,education,quite rich,4-7yr,good
55,Middle-aged+,4063,48,car,little,>7yr,good
52,Middle-aged+,7289,6,repairs,moderate,1-4yr,good
18,Young,2080,24,other,little,1-4yr,bad
39,Middle-aged+,1461,24,other,quite rich,>7yr,good
27,Young,12811,12,car,moderate,4-7yr,bad
35,Middle-aged+,1401,24,car,little,1-4yr,good
51,Middle-aged+,5459,24,car,quite rich,unemployed,good
42,Middle-aged+,1671,36,repairs,moderate,4-7yr,bad
35,Middle-aged+,5120,6,education,little,<1yr,good
35,Middle-aged+,1459,48,other,moderate,<1yr,bad
38,Middle-aged+,3293,12,furniture,little,4-7yr,good
18,Young,18666,60,furniture,moderate,<1yr,bad
35,Middle-aged+,4405,24,car,rich,>7yr,good
53,Middle-aged+,1190,24,other,little,>7yr,good
27,Young,2191,36,education,rich,4-7yr,bad
37,Middle-aged+,3251,12,education,quite rich,1-4yr,good
54,Middle-aged+,6132,36,other,little,<1yr,bad
65,Middle-aged+,1098,60,other,little,1-4yr,bad
18,Young,2341,36,furniture,rich,4-7yr,good
32,Middle-aged+,26114,6,car,moderate,unemployed,good
24,Young,15819,24,car,little,1-4yr,good
28,Young,5138,48,car,rich,>7yr,good
56,Middle-aged+,3671,6,other,moderate,1-4yr,good
38,Middle-aged+,4233,48,other,little,1-4yr,bad
36,Middle-aged+,4122,36,other,rich,>7yr,bad
24,Young,736,24,furniture,rich,4-7yr,good
55,Middle-aged+,1190,24,repairs,moderate,unemployed,good
29,Young,9190,60,other,moderate,4-7yr,bad
34,Middle-aged+,4734,36,car,quite rich,4-7yr,good
43,Middle-aged+,4058,24,furniture,rich,>7yr,good
32,Middle-aged+,3790,24,repairs,little,4-7yr,good
40,Middle-aged+,500,24,car,little,4-7yr,bad
35,Middle-aged+,500,12,education,moderate,>7yr,good
34,Middle-aged+,5826,6,furniture,rich,4-7yr,good
20,Young,6587,48,other,moderate,<1yr,good
34,Middle-aged+,7069,12,education,rich,<1yr,good
71,Middle-aged+,4025,24,education,rich,4-7yr,good
31,Middle-aged+,3877,24,furniture,little,1-4yr,good
30,Middle-aged+,8440,60,repairs,rich,>7yr,good
40,Middle-aged+,11535,24,other,little,>7yr,bad
38,Middle-aged+,3562,60,other,little,>7yr,bad
24,Young,1640,24,other,moderate,4-7yr,bad
28,Young,878,24,car,moderate,>7yr,bad
26,Young,3631,60,car,quite rich,4-7yr,bad
37,Middle-aged+,6709,36,car,rich,<1yr,bad
18,Young,5922,6,repairs,moderate,<1yr,good
42,Middle-aged+,2091,6,car,moderate,unemployed,bad
32,Middle-aged+,19008,24,repairs,little,1-4yr,bad
39,Middle-aged+,3446,36,repairs,little,>7yr,good
35,Middle-aged+,1533,60,car,quite rich,4-7yr,good
38,Middle-aged+,4120,36,repairs,quite rich,1-4yr,good
19,Young,13275,36,other,little,1-4yr,bad
49,Middle-aged+,6916,36,car,moderate,4-7yr,bad
41,Middle-aged+,2050,6,education,little,1-4yr,good
23,Young,8581,36,furniture,little,4-7yr,bad
25,Young,1086,12,repairs,rich,4-7yr,bad
18,Young,10912,12,car,quite rich,>7yr,good
33,Middle-aged+,2490,24,education,rich,unemployed,good
34,Middle-aged+,12197,12,repairs,little,1-4yr,good
43,Middle-aged+,13771,36,furniture,little,1-4yr,good
18,Young,6141,24,car,moderate,<1yr,good
18,Young,1080,12,repairs,quite rich,4-7yr,good
51,Middle-aged+,2703,60,car,moderate,1-4yr,good
50,Middle-aged+,7708,24,furniture,little,<1yr,bad
40,Middle-aged+,3502,48,other,quite rich,4-7yr,good
18,Young,688,36,furniture,moderate,4-7yr,bad
35,Middle-aged+,2573,36,car,moderate,<1yr,good
63,Middle-aged+,8637,36,education,little,>7yr,good
40,Middle-aged+,12932,36,furniture,little,>7yr,bad
32,Middle-aged+,541,24,furniture,little,>7yr,good
29,Young,3757,36,car,rich,1-4yr,good
18,Young,2034,36,other,quite rich,<1yr,good
41,Middle-aged+,6564,24,education,quite rich,4-7yr,good
71,Middle-aged+,561,36,furniture,rich,<1yr,good
27,Young,500,36,car,little,<1yr,bad
33,Middle-aged+,3697,60,car,little,1-4yr,good
45,Middle-aged+,4105,24,car,moderate,1-4yr,bad
18,Young,5998,36,car,moderate,4-7yr,bad
46,Middle-aged+,15085,6,car,rich,4-7yr,good
38,Middle-aged+,17708,6,repairs,quite rich,1-4yr,good
20,Young,8153,24,car,rich,4-7yr,bad
38,Middle-aged+,1587,12,furniture,little,4-7yr,good
63,Middle-aged+,4765,24,other,quite rich,<1yr,good
30,Middle-aged+,1787,24,education,little,1-4yr,good
18,Young,6728,12,furniture,rich,1-4yr,good
48,Middle-aged+,1041,36,furniture,quite rich,4-7yr,good
24,Young,2198,12,furniture,moderate,4-7yr,good
52,Middle-aged+,1348,24,other,little,1-4yr,good
33,Middle-aged+,5134,24,education,moderate,>7yr,bad
56,Middle-aged+,7319,24,repairs,quite rich,1-4yr,good
35,Middle-aged+,9697,48,furniture,moderate,>7yr,good
27,Young,9801,6,furniture,moderate,1-4yr,good
41,Middle-aged+,5019,60,car,rich,1-4yr,good
34,Middle-aged+,500,36,other,quite rich,unemployed,good
21,Young,3833,36,furniture,little,1-4yr,good
35,Middle-aged+,4716,36,education,little,1-4yr,good
20,Young,980,36,repairs,little,1-4yr,bad
18,Young,500,24,car,little,4-7yr,bad
40,Middle-aged+,2383,12,furniture,moderate,>7yr,good
38,Middle-aged+,946,12,repairs,little,>7yr,good
59,Middle-aged+,2585,12,car,little,4-7yr,bad
22,Young,500,12,other,moderate,<1yr,bad
37,Middle-aged+,707,6,education,little,1-4yr,good
23,Young,3155,12,furniture,rich,1-4yr,good
49,Middle-aged+,14168,12,car,moderate,4-7yr,good
49,Middle-aged+,1821,24,car,quite rich,4-7yr,good
42,Middle-aged+,11799,12,furniture,little,4-7yr,bad
65,Middle-aged+,1323,36,car,little,<1yr,bad
57,Middle-aged+,22732,6,repairs,rich,4-7yr,good
30,Middle-aged+,6634,60,repairs,quite rich,4-7yr,bad
46,Middle-aged+,2368,12,furniture,little,4-7yr,good
33,Middle-aged+,642,24,furniture,little,1-4yr,good
39,Middle-aged+,2067,24,other,quite rich,<1yr,good
23,Young,13188,36,other,moderate,4-7yr,bad
37,Middle-aged+,14306,12,education,moderate,>7yr,good
61,Middle-aged+,1394,36,education,little,1-4yr,good
27,Young,4399,6,other,rich,<1yr,good
18,Young,2972,60,furniture,little,4-7yr,bad
32,Middle-aged+,8298,36,education,moderate,1-4yr,good
36,Middle-aged+,500,24,car,moderate,>7yr,good
39,Middle-aged+,3308,60,car,quite rich,1-4yr,good
28,Young,7461,12,other,little,>7yr,bad
30,Middle-aged+,2021,6,car,moderate,1-4yr,good
62,Middle-aged+,1223,36,repairs,quite rich,<1yr,good
46,Middle-aged+,1887,24,education,little,4-7yr,good
38,Middle-aged+,786,48,furniture,quite rich,4-7yr,good
32,Middle-aged+,500,48,other,moderate,1-4yr,good
18,Young,3465,60,repairs,moderate,>7yr,bad
65,Middle-aged+,7695,36,repairs,little,>7yr,good
28,Young,4194,24,car,little,4-7yr,bad
31,Middle-aged+,930,12,education,moderate,<1yr,good
62,Middle-aged+,7431,36,car,little,1-4yr,good
48,Middle-aged+,1387,24,other,little,4-7yr,good
45,Middle-aged+,6914,48,car,little,unemployed,bad
18,Young,705,12,furniture,quite rich,4-7yr,good
42,Middle-aged+,4045,60,education,rich,<1yr,good
28,Young,2207,24,other,moderate,1-4yr,good
68,Middle-aged+,14130,60,other,quite rich,1-4yr,bad
39,Middle-aged+,4054,12,furniture,moderate,>7yr,good
49,Middle-aged+,500,24,education,moderate,4-7yr,bad
38,Middle-aged+,2723,24,education,little,unemployed,bad
57,Middle-aged+,10259,48,other,little,>7yr,bad
41,Middle-aged+,1044,36,car,little,1-4yr,good
20,Young,3630,48,other,moderate,<1yr,bad
18,Young,8133,6,furniture,rich,unemployed,good
40,Middle-aged+,4716,24,other,little,4-7yr,good
25,Young,500,24,car,rich,1-4yr,good
66,Middle-aged+,10222,48,car,rich,4-7yr,good
53,Middle-aged+,9627,36,repairs,rich,1-4yr,good
40,Middle-aged+,7533,36,repairs,little,<1yr,bad
53,Middle-aged+,6092,12,car,moderate,4-7yr,good
28,Young,1165,12,furniture,quite rich,<1yr,bad
18,Young,3989,24,furniture,little,1-4yr,bad
28,Young,3622,48,education,moderate,1-4yr,bad
42,Middle-aged+,1442,12,furniture,moderate,>7yr,good
18,Young,5313,36,car,little,1-4yr,good
36,Middle-aged+,1659,12,repairs,moderate,4-7yr,good
47,Middle-aged+,1748,48,repairs,quite rich,4-7yr,good
21,Young,1183,36,other,moderate,unemployed,bad
40,Middle-aged+,4415,36,car,rich,4-7yr,good
47,Middle-aged+,2199,12,car,little,1-4yr,good
35,Middle-aged+,1735,36,furniture,little,>7yr,good
68,Middle-aged+,12701,36,car,little,4-7yr,good
24,Young,12907,6,car,quite rich,4-7yr,bad
42,Middle-aged+,1198,36,education,quite rich,>7yr,good
35,Middle-aged+,2823,24,other,little,unemployed,good
42,Middle-aged+,500,24,car,rich,4-7yr,good
32,Middle-aged+,7952,12,car,little,4-7yr,good
49,Middle-aged+,3253,12,other,little,>7yr,good
48,Middle-aged+,6056,24,car,little,<1yr,bad
18,Young,4300,36,furniture,little,<1yr,bad
25,Young,4110,12,education,little,4-7yr,good
22,Young,6708,48,repairs,quite rich,4-7yr,good
41,Middle-aged+,646,24,furniture,rich,4-7yr,good
42,Middle-aged+,500,24,repairs,moderate,4-7yr,good
53,Middle-aged+,4128,48,other,little,4-7yr,good
52,Middle-aged+,3851,24,car,quite rich,4-7yr,good
46,Middle-aged+,3961,24,other,rich,1-4yr,bad
42,Middle-aged+,500,24,other,quite rich,1-4yr,bad
44,Middle-aged+,1729,12,car,little,1-4yr,bad
56,Middle-aged+,3366,24,car,little,unemployed,good
19,Young,1044,48,other,little,<1yr,bad
30,Middle-aged+,9536,6,car,moderate,>7yr,good
18,Young,8090,24,furniture,moderate,1-4yr,bad
75,Middle-aged+,1371,6,repairs,moderate,<1yr,good
43,Middle-aged+,2402,24,car,quite rich,1-4yr,good
30,Middle-aged+,11548,12,car,little,unemployed,bad
18,Young,1085,24,education,quite rich,4-7yr,bad
21,Young,4307,48,other,moderate,>7yr,bad
31,Middle-aged+,4297,12,repairs,moderate,1-4yr,good
57,Middle-aged+,5457,36,furniture,little,>7yr,good
59,Middle-aged+,3813,12,car,little,4-7yr,good
55,Middle-aged+,500,48,furniture,moderate,1-4yr,good
35,Middle-aged+,1327,24,other,quite rich,1-4yr,good
24,Young,17959,12,car,little,>7yr,good
63,Middle-aged+,1173,24,furniture,little,>7yr,bad
47,Middle-aged+,1298,24,education,rich,>7yr,good
37,Middle-aged+,2556,36,furniture,little,>7yr,good
33,Middle-aged+,582,6,education,moderate,1-4yr,good
50,Middle-aged+,3542,48,car,little,>7yr,good
26,Young,1457,24,repairs,moderate,<1yr,bad
28,Young,2211,24,car,little,1-4yr,bad
32,Middle-aged+,650,12,car,little,>7yr,good
59,Middle-aged+,500,36,repairs,little,4-7yr,good
38,Middle-aged+,500,36,furniture,moderate,4-7yr,good
48,Middle-aged+,690,24,car,rich,1-4yr,bad
61,Middle-aged+,3413,12,other,rich,4-7yr,good
30,Middle-aged+,500,24,car,rich,4-7yr,good
25,Young,2026,48,other,little,1-4yr,good
18,Young,500,12,repairs,little,1-4yr,bad
18,Young,7466,24,car,quite rich,4-7yr,good
52,Middle-aged+,2917,24,education,quite rich,4-7yr,good
44,Middle-aged+,5455,12,car,little,>7yr,good
60,Middle-aged+,3938,48,furniture,moderate,1-4yr,good
29,Young,2523,12,repairs,moderate,4-7yr,good
18,Young,2322,36,car,little,4-7yr,bad
23,Young,1993,36,furniture,quite rich,1-4yr,bad
49,Middle-aged+,4493,48,furniture,rich,<1yr,good
28,Young,1587,6,car,quite rich,1-4yr,good
26,Young,1604,24,other,rich,<1yr,good
22,Young,7936,36,car,quite rich,1-4yr,good
42,Middle-aged+,1945,36,furniture,quite rich,1-4yr,good
49,Middle-aged+,3248,6,furniture,moderate,4-7yr,good
37,Middle-aged+,2006,12,repairs,little,>7yr,good
19,Young,4564,12,furniture,moderate,4-7yr,bad
22,Young,1762,12,car,moderate,<1yr,good
55,Middle-aged+,3364,12,repairs,moderate,1-4yr,good
42,Middle-aged+,1565,24,car,little,>7yr,bad
32,Middle-aged+,500,48,other,rich,4-7yr,good
19,Young,8215,48,repairs,moderate,4-7yr,bad
40,Middle-aged+,3142,12,car,quite rich,1-4yr,good
61,Middle-aged+,7064,36,other,rich,>7yr,bad
27,Young,3747,12,education,rich,1-4yr,good
33,Middle-aged+,3387,24,repairs,little,unemployed,good
38,Middle-aged+,500,24,car,moderate,1-4yr,good
20,Young,1914,12,other,little,1-4yr,bad
55,Middle-aged+,6449,36,furniture,moderate,1-4yr,good
53,Middle-aged+,1159,48,education,moderate,4-7yr,good
18,Young,12832,6,education,rich,1-4yr,good
44,Middle-aged+,6342,24,other,rich,<1yr,good
18,Young,994,24,other,quite rich,<1yr,bad
41,Middle-aged+,12110,36,education,little,unemployed,bad
54,Middle-aged+,752,36,education,quite rich,4-7yr,good
44,Middle-aged+,2105,48,furniture,moderate,1-4yr,good
33,Middle-aged+,1490,48,furniture,rich,1-4yr,good
56,Middle-aged+,4232,24,repairs,quite rich,unemployed,good
34,Middle-aged+,7021,24,education,rich,<1yr,good
19,Young,1051,24,furniture,moderate,<1yr,good
38,Middle-aged+,2753,24,education,little,1-4yr,good
27,Young,4440,24,car,quite rich,4-7yr,bad
31,Middle-aged+,3971,12,education,moderate,1-4yr,bad
75,Middle-aged+,1121,36,education,quite rich,4-7yr,good
36,Middle-aged+,500,36,furniture,quite rich,>7yr,good
18,Young,3450,24,repairs,moderate,1-4yr,bad
40,Middle-aged+,500,24,other,quite rich,1-4yr,good
21,Young,1599,6,other,moderate,1-4yr,bad
67,Middle-aged+,2342,60,education,quite rich,1-4yr,good
18,Young,7162,36,car,little,>7yr,bad
43,Middle-aged+,1158,6,car,quite rich,unemployed,bad
47,Middle-aged+,5190,12,other,moderate,<1yr,good
45,Middle-aged+,6170,36,repairs,little,<1yr,good
38,Middle-aged+,5028,36,car,quite rich,4-7yr,good
18,Young,1866,36,furniture,moderate,<1yr,bad
40,Middle-aged+,8635,24,furniture,rich,4-7yr,good
39,Middle-aged+,5667,36,furniture,little,1-4yr,good
62,Middle-aged+,6577,24,education,rich,1-4yr,good
56,Middle-aged+,4611,24,car,moderate,<1yr,good
44,Middle-aged+,1229,36,education,rich,>7yr,good
54,Middle-aged+,4953,24,repairs,little,1-4yr,good
18,Young,500,48,car,little,1-4yr,bad
